file	width	height
VGM001000285_01_n	1134	888
VGM001000285_02_n	1135	886
VGM001000286_01_n	1151	893
VGM001000286_02_n	1149	893
VGM001000287_01_n	601	888
VGM001000287_02_n	587	892
VGM001000288_01_n	1159	895
VGM001000288_02_n	1156	899
VGM001000289_01_n	1138	889
VGM001000289_02_n	1131	899
VGM001000290_01_n	599	890
VGM001000290_02_n	582	890
VGM001000291_01_n	1142	904
VGM001000291_02_n	1119	882
VGM001000292_01_n	584	890
VGM001000292_02_n	582	895
VGM001000293_01_n	888	581
VGM001000293_02_n	589	893
VGM001000294_01_n	578	587
VGM001000294_02_n	581	588
VGM001000295_01_n	1137	889
VGM001000295_02_n	1137	893
VGM001000296_01_n	602	893
VGM001000296_02_n	585	896
VGM001000297_01_n	587	589
VGM001000297_02_n	583	592
VGM001000298_01_n	1131	893
VGM001000298_02_n	1133	893
VGM001000299_01_n	585	891
VGM001000299_02_n	576	887
VGM001000300_01_n	1165	946
VGM001000300_02_n	1163	948
VGM001000301_01_n	1120	888
VGM001000301_02_n	1131	897
VGM001000302_01_n	1138	900
VGM001000302_02_n	1135	885
VGM001000303_01_n	1141	887
VGM001000303_02_n	1141	892
VGM001000304_01_n	1135	890
VGM001000304_02_n	1138	886
VGM001000305_01_n	459	581
VGM001000305_02_n	465	578
VGM001000306_01_n	1124	881
VGM001000306_02_n	1117	883
VGM001000307_01_n	577	885
VGM001000307_02_n	582	882
VGM001000308_01_n	580	889
VGM001000308_02_n	574	882
VGM001000309_01_n	1117	886
VGM001000309_02_n	1126	879
VGM001000310_01_n	580	879
VGM001000310_02_n	574	879
VGM001000311_01_n	598	871
VGM001000311_02_n	571	878
VGM001000312_01_n	602	889
VGM001000312_02_n	602	893
VGM001000313_01_n	1141	885
VGM001000313_02_n	1140	888
VGM001000314_01_n	1165	893
VGM001000314_02_n	1159	902
VGM001000315_01_n	1158	899
VGM001000315_02_n	1161	897
VGM001000316_01_n	602	891
VGM001000316_02_n	602	895
VGM001000317_01_n	1162	902
VGM001000317_02_n	1156	895
VGM001000318_01_n	1152	893
VGM001000318_02_n	1156	896
VGM001000319_01_n	1133	897
VGM001000319_02_n	1130	900
VGM001000320_01_n	1141	885
VGM001000320_02_n	1145	896
VGM001000321_01_n	1148	889
VGM001000321_02_n	1149	886
VGM001000322_01_n	602	900
VGM001000322_02_n	602	889
VGM001000323_01_n	1151	885
VGM001000323_02_n	1145	886
VGM001000324_01_n	668	942
VGM001000324_02_n	673	941
VGM001000325_01_n	1152	890
VGM001000325_02_n	1144	896
VGM001000326_01_n	1151	899
VGM001000326_02_n	1155	895
VGM001000327_01_n	1144	893
VGM001000327_02_n	1144	900
VGM001000328_01_n	1152	897
VGM001000328_02_n	1151	902
VGM001000329_01_n	1144	897
VGM001000329_02_n	1138	892
VGM001000330_01_n	1132	880
VGM001000330_02_n	1149	889
VGM001000331_01_n	1141	888
VGM001000331_02_n	1149	899
VGM001000332_01_n	1140	903
VGM001000332_02_n	1155	893
VGM001000333_01_n	1130	880
VGM001000333_02_n	1142	892
VGM001000334_01_n	589	592
VGM001000334_02_n	584	592
VGM001000335_01_n	1151	895
VGM001000335_02_n	1144	890
VGM001000336_01_n	591	819
VGM001000336_02_n	588	827
VGM001000337_01_n	1127	888
VGM001000337_02_n	1137	890
VGM001000338_01_n	1141	896
VGM001000338_02_n	1138	897
VGM001000339_01_n	1149	895
VGM001000339_02_n	1135	884
VGM001000340_01_n	1140	890
VGM001000340_02_n	1144	890
VGM001000341_01_n	589	889
VGM001000341_02_n	582	886
VGM001000342_01_n	585	715
VGM001000342_02_n	585	708
VGM001000343_01_n	1151	890
VGM001000343_02_n	1152	892
VGM001000344_01_n	1159	897
VGM001000344_02_n	1155	896
VGM001000345_01_n	1155	897
VGM001000345_02_n	1156	900
VGM001000346_01_n	573	315
VGM001000346_02_n	569	315
VGM001000347_01_n	1161	899
VGM001000347_02_n	1155	900
VGM001000348_01_n	1151	897
VGM001000348_02_n	1144	906
VGM001000349_01_n	1145	893
VGM001000349_02_n	1147	895
VGM001000350_01_n	1149	895
VGM001000350_02_n	1141	895
VGM001000351_01_n	603	892
VGM001000351_02_n	602	889
VGM001000352_01_n	603	899
VGM001000352_02_n	598	892
VGM001000353_01_n	1142	904
VGM001000353_02_n	1149	902
VGM001000354_01_n	1166	909
