file	width	height
VGM001000191_01_n	1348	1686
VGM001000191_02_n	1336	1650
VGM001000192_01_n	3244	2548
VGM001000192_02_n	3238	2536
VGM001000193_01_n	3292	2554
VGM001000193_02_n	3291	2572
VGM001000194_01_n	3243	2526
VGM001000194_02_n	3279	2578
VGM001000195_01_n	3274	2590
VGM001000195_02_n	3268	2578
VGM001000196_01_n	3250	2554
VGM001000196_02_n	3244	2554
VGM001000197_01_n	3249	2578
VGM001000197_02_n	3244	2560
VGM001000198_01_n	3232	2554
VGM001000198_02_n	3256	2572
VGM001000199_01_n	1678	2560
VGM001000199_02_n	1678	2542
VGM001000200_01_n	3262	2560
VGM001000200_02_n	3268	2566
VGM001000201_01_n	3204	2532
VGM001000201_02_n	3204	2528
VGM001000202_01_n	3220	2512
VGM001000202_02_n	3208	2512
VGM001000203_01_n	3204	2508
VGM001000203_02_n	3208	2512
VGM001000204_01_n	3260	2544
VGM001000204_02_n	3264	2540
VGM001000205_01_n	3252	2536
VGM001000205_02_n	3256	2544
VGM001000206_01_n	3264	2544
VGM001000206_02_n	3244	2532
VGM001000207_01_n	3188	2504
VGM001000207_02_n	3192	2512
VGM001000208_01_n	3168	2496
VGM001000208_02_n	3180	2512
VGM001000209_01_n	1648	2496
VGM001000209_02_n	1644	2508
VGM001000210_01_n	1644	2512
VGM001000210_02_n	1636	2512
VGM001000211_01_n	1632	2512
VGM001000211_02_n	1652	2548
VGM001000212_01_n	3292	2528
VGM001000212_02_n	3300	2532
VGM001000213_01_n	3264	2532
VGM001000213_02_n	3256	2528
VGM001000214_01_n	2912	2308
VGM001000214_02_n	2912	2304
VGM001000215_01_n	3312	2512
VGM001000215_02_n	3316	2512
VGM001000216_01_n	3276	2556
VGM001000216_02_n	3272	2552
VGM001000217_01_n	3272	2556
VGM001000217_02_n	3264	2556
VGM001000218_01_n	3268	2548
VGM001000218_02_n	3264	2556
VGM001000219_01_n	2592	1453
VGM001000219_02_n	2580	1469
VGM001000220_01_n	3248	2528
VGM001000220_02_n	3256	2532
VGM001000221_01_n	3268	2540
VGM001000221_02_n	3268	2540
VGM001000222_01_n	3264	2524
VGM001000222_02_n	3268	2536
VGM001000223_01_n	3248	2532
VGM001000223_02_n	3260	2532
VGM001000224_01_n	1672	2536
VGM001000224_02_n	1668	2532
VGM001000225_01_n	3256	2536
VGM001000225_02_n	3260	2520
VGM001000226_01_n	3248	2528
VGM001000226_02_n	3240	2528
VGM001000227_01_n	3248	2536
VGM001000227_02_n	3236	2528
VGM001000228_01_n	3256	2536
VGM001000228_02_n	3252	2536
VGM001000229_01_n	1664	1189
VGM001000229_02_n	1668	1186
VGM001000230_01_n	3232	2540
VGM001000230_02_n	3248	2544
VGM001000231_01_n	3228	2532
VGM001000231_02_n	3228	2532
VGM001000232_01_n	3244	2532
VGM001000232_02_n	3244	2536
VGM001000233_01_n	3232	2532
VGM001000233_02_n	3248	2528
VGM001000234_01_n	3300	2524
VGM001000234_02_n	3316	2520
VGM001000235_01_n	3256	2528
VGM001000235_02_n	3264	2540
VGM001000236_01_n	3268	2552
VGM001000236_02_n	3244	2552
VGM001000237_01_n	3192	2548
VGM001000237_02_n	3160	2576
VGM001000238_01_n	3272	2512
VGM001000238_02_n	3232	2505
VGM001000239_01_n	3280	2544
VGM001000239_02_n	3288	2540
VGM001000240_01_n	3280	2528
VGM001000240_02_n	3280	2536
VGM001000241_01_n	3272	2532
VGM001000241_02_n	3264	2540
VGM001000242_01_n	1664	1302
VGM001000242_02_n	1636	1290
VGM001000243_01_n	3264	2512
VGM001000243_02_n	3276	2536
VGM001000244_01_n	3284	2596
VGM001000244_02_n	3252	2624
VGM001000245_01_n	2588	1636
VGM001000245_02_n	2572	1644
VGM001000246_01_n	3300	2560
VGM001000246_02_n	3288	2544
VGM001000247_01_n	3284	2524
VGM001000247_02_n	3284	2512
VGM001000248_01_n	3288	2532
VGM001000248_02_n	3292	2512
VGM001000249_01_n	3260	2532
VGM001000249_02_n	3252	2524
VGM001000250_01_n	1660	2532
VGM001000250_02_n	1656	2532
VGM001000251_01_n	1633	1294
VGM001000251_02_n	1633	1288
VGM001000252_01_n	3228	2544
VGM001000252_02_n	3264	2548
VGM001000253_01_n	3244	2544
VGM001000253_02_n	3256	2552
VGM001000254_01_n	1740	2552
VGM001000254_02_n	1720	2548
VGM001000255_01_n	1690	1128
VGM001000255_02_n	1699	1130
VGM001000256_01_n	3197	2541
VGM001000256_02_n	3256	2564
VGM001000257_01_n	2596	1760
VGM001000257_02_n	2575	1738
VGM001000258_01_n	3288	2512
VGM001000258_02_n	3304	2509
VGM001000259_01_n	3256	2532
VGM001000259_02_n	3244	2520
VGM001000260_01_n	3172	2524
VGM001000260_02_n	3177	2570
VGM001000261_01_n	3252	2524
VGM001000261_02_n	3240	2512
VGM001000262_01_n	3252	2556
VGM001000262_02_n	3256	2544
VGM001000263_01_n	1632	2512
VGM001000263_02_n	1636	2512
VGM001000264_01_n	3208	2512
VGM001000264_02_n	3248	2532
VGM001000265_01_n	1686	1135
VGM001000265_02_n	1671	1123
VGM001000266_01_n	3232	2577
VGM001000266_02_n	3248	2564
VGM001000267_01_n	2776	1588
VGM001000267_02_n	2788	1612
VGM001000268_01_n	3225	2537
VGM001000268_02_n	3244	2552
VGM001000269_01_n	3280	2572
VGM001000269_02_n	3272	2576
VGM001000270_01_n	3268	2572
VGM001000270_02_n	3213	2554
VGM001000271_01_n	3268	2564
VGM001000271_02_n	3296	2572
VGM001000272_01_n	3268	2564
VGM001000272_02_n	3256	2568
VGM001000273_01_n	1692	2548
VGM001000273_02_n	1720	2560
VGM001000274_01_n	3256	2564
VGM001000274_02_n	3296	2592
VGM001000275_01_n	3268	2568
VGM001000275_02_n	3268	2568
VGM001000276_01_n	3272	2548
VGM001000276_02_n	3264	2556
VGM001000277_01_n	3284	2556
VGM001000277_02_n	3260	2536
VGM001000278_01_n	3276	2544
VGM001000278_02_n	3280	2568
VGM001000279_01_n	3316	2580
VGM001000279_02_n	3276	2580
VGM001000280_01_n	1684	2532
VGM001000280_02_n	1672	2536
VGM001000281_01_n	3244	2528
VGM001000281_02_n	3240	2552
VGM001000282_01_n	3224	2536
VGM001000282_02_n	3244	2524
VGM001000283_01_n	3248	2564
VGM001000283_02_n	3244	2544
VGM001000284_01_n	3196	2512
VGM001000284_02_n	3212	2540
VGM001000285_01_n	3240	2536
VGM001000285_02_n	3244	2532
VGM001000286_01_n	3288	2552
